Episode,Outcome,Avg_Performance,SmartMovePlayer1
0,2,1.00,0.00
1,None,0.50,0.00
2,2,0.67,0.00
3,2,0.75,0.00
4,2,0.80,0.00
5,2,0.83,0.00
6,1,0.57,0.00
7,2,0.62,0.00
8,2,0.67,0.00
9,2,0.70,0.00
10,2,0.73,0.00
11,2,0.75,0.00
12,2,0.77,0.00
13,2,0.79,0.00
14,2,0.80,0.00
15,None,0.75,0.00
16,1,0.65,0.00
17,None,0.61,0.00
18,1,0.53,0.00
19,2,0.55,0.00
20,2,0.57,0.00
21,2,0.59,0.00
22,2,0.61,0.00
23,2,0.62,0.00
24,2,0.64,0.00
25,2,0.65,0.00
26,2,0.67,0.00
27,2,0.68,0.00
28,2,0.69,0.00
29,2,0.70,0.00
30,2,0.71,0.00
31,2,0.72,0.00
32,2,0.73,0.00
33,None,0.71,0.00
34,1,0.66,0.00
35,2,0.67,0.00
36,None,0.65,0.00
37,2,0.66,0.00
38,2,0.67,0.00
39,None,0.65,0.00
40,1,0.61,0.00
41,None,0.60,0.00
42,2,0.60,0.00
43,None,0.59,0.00
44,2,0.60,0.00
45,2,0.61,0.00
46,2,0.62,0.00
47,2,0.62,0.00
48,None,0.61,0.00
Increment at Episode 49: SmartMovePlayer1 increased to 0.10
49,1,0.58,0.10
50,2,1.00,0.10
51,None,0.50,0.10
52,2,0.67,0.10
53,1,0.25,0.10
54,2,0.40,0.10
55,2,0.50,0.10
56,2,0.57,0.10
57,2,0.62,0.10
58,2,0.67,0.10
59,2,0.70,0.10
60,2,0.73,0.10
61,2,0.75,0.10
62,2,0.77,0.10
63,2,0.79,0.10
64,2,0.80,0.10
65,None,0.75,0.10
66,2,0.76,0.10
67,2,0.78,0.10
68,1,0.68,0.10
69,2,0.70,0.10
70,2,0.71,0.10
71,2,0.73,0.10
72,1,0.65,0.10
73,None,0.62,0.10
74,2,0.64,0.10
75,2,0.65,0.10
76,2,0.67,0.10
77,1,0.61,0.10
78,None,0.59,0.10
79,2,0.60,0.10
80,2,0.61,0.10
81,2,0.62,0.10
82,2,0.64,0.10
83,None,0.62,0.10
84,2,0.63,0.10
85,1,0.58,0.10
86,1,0.54,0.10
87,None,0.53,0.10
88,2,0.54,0.10
89,1,0.50,0.10
90,2,0.51,0.10
91,2,0.52,0.10
92,2,0.53,0.10
93,2,0.55,0.10
94,2,0.56,0.10
95,2,0.57,0.10
96,2,0.57,0.10
97,2,0.58,0.10
98,2,0.59,0.10
Increment at Episode 99: SmartMovePlayer1 increased to 0.20
99,2,0.60,0.20
100,2,1.00,0.20
101,None,0.50,0.20
102,None,0.33,0.20
103,2,0.50,0.20
104,1,0.20,0.20
105,1,0.00,0.20
106,1,-0.14,0.20
107,2,0.00,0.20
108,None,0.00,0.20
109,2,0.10,0.20
110,None,0.09,0.20
111,None,0.08,0.20
112,1,0.00,0.20
113,2,0.07,0.20
114,2,0.13,0.20
115,2,0.19,0.20
116,2,0.24,0.20
117,2,0.28,0.20
118,2,0.32,0.20
119,2,0.35,0.20
120,None,0.33,0.20
121,1,0.27,0.20
122,2,0.30,0.20
123,2,0.33,0.20
124,2,0.36,0.20
125,2,0.38,0.20
126,2,0.41,0.20
127,2,0.43,0.20
128,2,0.45,0.20
129,2,0.47,0.20
130,1,0.42,0.20
131,2,0.44,0.20
132,1,0.39,0.20
133,1,0.35,0.20
134,2,0.37,0.20
135,None,0.36,0.20
136,2,0.38,0.20
137,2,0.39,0.20
138,1,0.36,0.20
139,2,0.38,0.20
140,2,0.39,0.20
141,1,0.36,0.20
142,1,0.33,0.20
143,1,0.30,0.20
144,2,0.31,0.20
145,1,0.28,0.20
146,2,0.30,0.20
147,1,0.27,0.20
148,2,0.29,0.20
149,2,0.30,0.20
150,2,0.30,0.20
151,1,0.28,0.20
152,2,0.30,0.20
153,2,0.30,0.20
154,2,0.34,0.20
155,1,0.34,0.20
156,2,0.38,0.20
157,2,0.38,0.20
158,2,0.40,0.20
159,2,0.40,0.20
160,2,0.42,0.20
161,2,0.44,0.20
162,2,0.48,0.20
163,2,0.48,0.20
164,2,0.48,0.20
165,2,0.48,0.20
166,2,0.48,0.20
167,2,0.48,0.20
168,2,0.48,0.20
169,1,0.44,0.20
170,2,0.46,0.20
171,2,0.50,0.20
172,None,0.48,0.20
173,2,0.48,0.20
174,2,0.48,0.20
175,2,0.48,0.20
176,2,0.48,0.20
177,2,0.48,0.20
178,None,0.46,0.20
179,2,0.46,0.20
180,1,0.46,0.20
181,2,0.46,0.20
182,2,0.50,0.20
Increment at Episode 183: SmartMovePlayer1 increased to 0.30
183,None,0.52,0.30
184,1,-1.00,0.30
185,None,-0.50,0.30
186,2,0.00,0.30
187,2,0.25,0.30
188,2,0.40,0.30
189,2,0.50,0.30
190,2,0.57,0.30
191,1,0.38,0.30
192,2,0.44,0.30
193,2,0.50,0.30
194,2,0.55,0.30
195,1,0.42,0.30
196,2,0.46,0.30
197,None,0.43,0.30
198,2,0.47,0.30
199,2,0.50,0.30
200,2,0.53,0.30
201,None,0.50,0.30
202,2,0.53,0.30
203,2,0.55,0.30
204,2,0.57,0.30
205,2,0.59,0.30
206,2,0.61,0.30
207,2,0.62,0.30
208,1,0.56,0.30
209,2,0.58,0.30
210,None,0.56,0.30
211,2,0.57,0.30
212,1,0.52,0.30
213,2,0.53,0.30
214,None,0.52,0.30
215,None,0.50,0.30
216,2,0.52,0.30
217,2,0.53,0.30
218,None,0.51,0.30
219,2,0.53,0.30
220,2,0.54,0.30
221,None,0.53,0.30
222,1,0.49,0.30
223,1,0.45,0.30
224,2,0.46,0.30
225,2,0.48,0.30
226,None,0.47,0.30
227,2,0.48,0.30
228,2,0.49,0.30
229,1,0.46,0.30
230,None,0.45,0.30
231,1,0.42,0.30
232,2,0.43,0.30
233,2,0.44,0.30
234,None,0.46,0.30
235,None,0.46,0.30
236,1,0.42,0.30
237,2,0.42,0.30
238,2,0.42,0.30
239,2,0.42,0.30
240,2,0.42,0.30
241,2,0.46,0.30
242,2,0.46,0.30
243,2,0.46,0.30
244,None,0.44,0.30
245,1,0.44,0.30
246,2,0.44,0.30
247,2,0.46,0.30
248,None,0.44,0.30
249,1,0.40,0.30
250,1,0.36,0.30
251,2,0.38,0.30
252,1,0.34,0.30
253,2,0.34,0.30
254,2,0.34,0.30
255,None,0.32,0.30
256,None,0.30,0.30
257,2,0.30,0.30
258,2,0.34,0.30
259,2,0.34,0.30
260,2,0.36,0.30
261,2,0.36,0.30
262,2,0.40,0.30
263,2,0.40,0.30
264,2,0.42,0.30
265,2,0.44,0.30
266,2,0.44,0.30
267,2,0.44,0.30
268,2,0.46,0.30
269,2,0.46,0.30
270,2,0.46,0.30
271,None,0.46,0.30
272,2,0.50,0.30
Increment at Episode 273: SmartMovePlayer1 increased to 0.40
273,2,0.54,0.40
274,2,1.00,0.40
275,None,0.50,0.40
276,1,0.00,0.40
277,2,0.25,0.40
278,1,0.00,0.40
279,2,0.17,0.40
280,2,0.29,0.40
281,2,0.38,0.40
282,2,0.44,0.40
283,2,0.50,0.40
284,None,0.45,0.40
285,2,0.50,0.40
286,None,0.46,0.40
287,2,0.50,0.40
288,2,0.53,0.40
289,2,0.56,0.40
290,2,0.59,0.40
291,2,0.61,0.40
292,2,0.63,0.40
293,1,0.55,0.40
294,2,0.57,0.40
295,2,0.59,0.40
296,2,0.61,0.40
297,2,0.62,0.40
