Episode,Outcome,Avg_Performance,SmartMovePlayer1
0,2,1.00,0.00
1,2,1.00,0.00
2,2,1.00,0.00
3,2,1.00,0.00
4,2,1.00,0.00
5,2,1.00,0.00
6,2,1.00,0.00
7,2,1.00,0.00
8,2,1.00,0.00
9,2,1.00,0.00
10,2,1.00,0.00
11,2,1.00,0.00
12,2,1.00,0.00
13,2,1.00,0.00
14,2,1.00,0.00
15,2,1.00,0.00
16,2,1.00,0.00
17,2,1.00,0.00
18,2,1.00,0.00
19,2,1.00,0.00
20,2,1.00,0.00
21,1,0.91,0.00
22,2,0.91,0.00
23,2,0.92,0.00
24,2,0.92,0.00
25,2,0.92,0.00
26,2,0.93,0.00
27,2,0.93,0.00
28,2,0.93,0.00
29,1,0.87,0.00
30,2,0.87,0.00
31,2,0.88,0.00
32,2,0.88,0.00
33,2,0.88,0.00
34,None,0.86,0.00
35,2,0.86,0.00
36,2,0.86,0.00
37,2,0.87,0.00
38,2,0.87,0.00
39,2,0.88,0.00
40,2,0.88,0.00
41,2,0.88,0.00
42,2,0.88,0.00
43,2,0.89,0.00
44,2,0.89,0.00
45,1,0.85,0.00
46,None,0.83,0.00
47,2,0.83,0.00
48,2,0.84,0.00
Increment at Episode 49: SmartMovePlayer1 increased to 0.10
49,2,0.84,0.10
50,1,-1.00,0.10
51,None,-0.50,0.10
52,None,-0.33,0.10
53,2,0.00,0.10
54,2,0.20,0.10
55,2,0.33,0.10
56,None,0.29,0.10
57,2,0.38,0.10
58,2,0.44,0.10
59,None,0.40,0.10
60,None,0.36,0.10
61,1,0.25,0.10
62,2,0.31,0.10
63,2,0.36,0.10
64,2,0.40,0.10
65,1,0.31,0.10
66,2,0.35,0.10
67,2,0.39,0.10
68,2,0.42,0.10
69,None,0.40,0.10
70,1,0.33,0.10
71,2,0.36,0.10
72,2,0.39,0.10
73,1,0.33,0.10
74,None,0.32,0.10
75,2,0.35,0.10
76,2,0.37,0.10
77,2,0.39,0.10
78,1,0.34,0.10
79,1,0.30,0.10
80,2,0.32,0.10
81,2,0.34,0.10
82,2,0.36,0.10
83,2,0.38,0.10
84,2,0.40,0.10
85,2,0.42,0.10
86,2,0.43,0.10
87,2,0.45,0.10
88,2,0.46,0.10
89,2,0.47,0.10
90,2,0.49,0.10
91,2,0.50,0.10
92,2,0.51,0.10
93,1,0.48,0.10
94,2,0.49,0.10
95,2,0.50,0.10
96,None,0.49,0.10
97,None,0.48,0.10
98,2,0.49,0.10
99,None,0.48,0.10
100,1,0.48,0.10
101,2,0.50,0.10
Increment at Episode 102: SmartMovePlayer1 increased to 0.20
102,2,0.52,0.20
103,None,0.00,0.20
104,2,0.50,0.20
105,2,0.67,0.20
106,2,0.75,0.20
107,1,0.40,0.20
108,2,0.50,0.20
109,2,0.57,0.20
110,1,0.38,0.20
111,2,0.44,0.20
112,2,0.50,0.20
113,2,0.55,0.20
114,2,0.58,0.20
115,2,0.62,0.20
116,2,0.64,0.20
117,2,0.67,0.20
118,2,0.69,0.20
119,2,0.71,0.20
120,None,0.67,0.20
121,2,0.68,0.20
122,None,0.65,0.20
123,1,0.57,0.20
124,1,0.50,0.20
125,2,0.52,0.20
126,1,0.46,0.20
127,2,0.48,0.20
128,2,0.50,0.20
129,2,0.52,0.20
130,1,0.46,0.20
131,1,0.41,0.20
132,2,0.43,0.20
133,None,0.42,0.20
134,1,0.38,0.20
135,2,0.39,0.20
136,2,0.41,0.20
137,2,0.43,0.20
138,2,0.44,0.20
139,2,0.46,0.20
140,2,0.47,0.20
141,2,0.49,0.20
142,None,0.47,0.20
143,2,0.49,0.20
144,2,0.50,0.20
145,2,0.51,0.20
146,None,0.50,0.20
147,2,0.51,0.20
148,1,0.48,0.20
149,2,0.49,0.20
150,2,0.50,0.20
151,2,0.51,0.20
Increment at Episode 152: SmartMovePlayer1 increased to 0.30
152,2,0.52,0.30
153,2,1.00,0.30
154,2,1.00,0.30
155,1,0.33,0.30
156,2,0.50,0.30
157,1,0.20,0.30
158,1,0.00,0.30
159,2,0.14,0.30
160,2,0.25,0.30
161,2,0.33,0.30
162,2,0.40,0.30
163,2,0.45,0.30
164,2,0.50,0.30
165,2,0.54,0.30
166,None,0.50,0.30
167,2,0.53,0.30
168,2,0.56,0.30
169,2,0.59,0.30
170,2,0.61,0.30
171,2,0.63,0.30
172,None,0.60,0.30
173,2,0.62,0.30
174,2,0.64,0.30
175,2,0.65,0.30
176,2,0.67,0.30
177,None,0.64,0.30
178,2,0.65,0.30
179,2,0.67,0.30
180,2,0.68,0.30
181,None,0.66,0.30
182,2,0.67,0.30
183,2,0.68,0.30
184,1,0.62,0.30
185,2,0.64,0.30
186,2,0.65,0.30
187,2,0.66,0.30
188,1,0.61,0.30
189,2,0.62,0.30
190,2,0.63,0.30
191,None,0.62,0.30
192,1,0.57,0.30
193,1,0.54,0.30
194,2,0.55,0.30
195,2,0.56,0.30
196,1,0.52,0.30
197,2,0.53,0.30
198,2,0.54,0.30
199,2,0.55,0.30
200,2,0.56,0.30
201,2,0.57,0.30
Increment at Episode 202: SmartMovePlayer1 increased to 0.40
202,2,0.58,0.40
203,2,1.00,0.40
204,2,1.00,0.40
205,2,1.00,0.40
206,1,0.50,0.40
207,1,0.20,0.40
208,2,0.33,0.40
209,2,0.43,0.40
210,2,0.50,0.40
211,2,0.56,0.40
212,2,0.60,0.40
213,1,0.45,0.40
214,None,0.42,0.40
215,2,0.46,0.40
